step,n_cumulative,t_seconds,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load
85,85.0,51408000.0,0.05857493182841774,0.05875562426325587,0.42873029014090785,0.0668363632853393,0.054046590614770657,0.15197242897764907
86,86.0,52012800.0,0.059938705835993054,0.05976746936114331,0.433851173094808,0.06827587379984143,0.055177755103528986,0.15412280818208773
87,87.0,52617600.0,0.06131856224768732,0.06078787994525804,0.43897462672371135,0.06973074696320525,0.05632110679125856,0.15628238760740643
88,88.0,53222400.0,0.06271451645684997,0.06181689540517227,0.4441006785774658,0.07120099048745578,0.05747667046470137,0.15845119507170885
89,89.0,53827200.0,0.06412658394333602,0.06285455518582547,0.449229356238418,0.07268661216726757,0.058644470993105886,0.160629258452669
90,90.0,54432000.0,0.06555478027364484,0.06390089878776345,0.45436068732157836,0.07418761988006223,0.05982453332840245,0.16281660568771406
91,91.0,55036800.0,0.06699912110105952,0.06495596576737783,0.4594946994747868,0.07570402158610637,0.061016882505379094,0.16501326477420766
92,92.0,55641600.0,0.06845962216578685,0.066019795737146,0.46463142037887833,0.07723582532861013,0.06222154364185801,0.167219263769634
93,93.0,56246400.0,0.06993629929509772,0.06709242836587151,0.4697708777478488,0.07878303923382617,0.0634385419388725,0.16943463079178175
94,94.0,56851200.0,0.0714291684034681,0.06817390337892493,0.47491309932902154,0.08034567151114912,0.0646679026808445,0.171659394018929
95,95.0,57456000.0,0.07293824549272065,0.06926426055848514,0.48005811290321354,0.08192373045321558,0.0659096512357627,0.1738935816900281
96,96.0,58060800.0,0.07446354665216683,0.07036353974378114,0.48520594628490255,0.08351722443600462,0.06716381305536114,0.17613722210489158
97,97.0,58665600.0,0.07600508805874946,0.07147178083133421,0.49035662732239393,0.08512616191893874,0.06843041367529838,0.17839034362437778
98,98.0,59270400.0,0.07756288597718604,0.0725890237752006,0.4955101838979882,0.08675055144498532,0.06970947871533732,0.18065297467057742
99,99.0,59875200.0,0.07913695676011241,0.0737153085872147,0.5006666439281485,0.08839040164075869,0.07100103387952543,0.1829251437270006
100,100.0,60480000.0,0.08072731684822716,0.07485067533723261,0.5058260353636688,0.09004572121662253,0.07230510495637564,0.1852068793387639
